demand,phase,variant,before,after,facility,delta,relative,se,upper95,lower95,seven_day_extra_income,facility_price,seven_day_net
flat,0,baseline,11,15,12003,308.34375,0.1038420979885483,13.444316084110378,334.69460952485633,281.99289047514367,17267.25,46000,-28732.75
flat,0,baseline,11,27,12005,3914.28125,1.3182273910764764,54.15751431160166,4020.4299780507395,3808.1325219492605,219199.75,176000,43199.75
flat,0,baseline,11,43,12006,7175.24375,2.416434140725144,93.66825027747927,7358.833520543859,6991.65397945614,401813.64999999997,198000,203813.64999999997
flat,0,baseline,12,13,12001,-378.58125,-0.10070301866884196,12.441646474459162,-354.19562291006,-402.96687708994,-21200.55,18000,-39200.55
flat,0,baseline,12,14,12002,-193.02291666666667,-0.05134430292202179,12.955033403119195,-167.63105119655305,-218.4147821367803,-10809.283333333333,39000,-49809.28333333333
flat,0,baseline,12,28,12005,3959.7541666666666,1.0532988566387218,52.93785527836949,4063.5123630122707,3855.9959703210625,221746.23333333334,176000,45746.23333333334
flat,0,baseline,12,44,12006,7643.9375,2.033295575958823,91.85683713634816,7823.976900787243,7463.898099212757,428060.5,198000,230060.5
flat,0,baseline,13,15,12002,-103.10625,-0.030497570534605632,11.842855510931807,-79.89425319857367,-126.31824680142634,-5773.95,39000,-44773.95
flat,0,baseline,13,29,12005,3566.80625,1.0550177626734287,52.375656457952886,3669.462536657588,3464.1499633424123,199741.15,176000,23741.149999999994
flat,0,baseline,13,45,12006,6675.222916666667,1.9744494803686254,90.59771805527778,6852.794444055011,6497.651389278322,373812.48333333334,198000,175812.48333333334
flat,0,baseline,14,15,12001,-288.6645833333333,-0.08094094527976409,10.582496606702199,-267.922889984197,-309.40627668246964,-16165.216666666667,18000,-34165.21666666667
flat,0,baseline,14,30,12005,3334.00625,0.9348483777520616,50.425872273597996,3432.840959656252,3235.171540343748,186704.35,176000,10704.350000000006
flat,0,baseline,14,46,12006,6259.61875,1.755184002364689,88.39406184438513,6432.871111214995,6086.366388785004,350538.64999999997,198000,152538.64999999997
flat,0,baseline,15,31,12005,3052.914583333333,0.9314209550154008,50.4303614320304,3151.758091740113,2954.0710749265536,170963.21666666667,176000,-5036.783333333326
flat,0,baseline,15,47,12006,5607.833333333333,1.7109071794591475,88.48386934693268,5781.261717253321,5434.404949413345,314038.6666666666,198000,116038.66666666663
flat,0,baseline,16,17,12001,-1435.43125,-0.1527583352215461,42.34028228107331,-1352.4442967290963,-1518.4182032709039,-80384.15000000001,18000,-98384.15000000001
flat,0,baseline,16,18,12002,-1617.43125,-0.17212674245827123,47.37297616931482,-1524.580216708143,-1710.282283291857,-90576.15000000001,39000,-129576.15000000001
flat,0,baseline,16,20,12003,-1463.3291666666667,-0.15572722649108578,47.84488040162808,-1369.5532010794757,-1557.1051322538576,-81946.43333333333,46000,-127946.43333333333
flat,0,baseline,16,24,12004,-364.75625,-0.03881729446231164,40.231399464816874,-285.902707048959,-443.6097929510411,-20426.350000000002,42000,-62426.350000000006
flat,0,baseline,16,48,12006,6940.808333333333,0.7386395733629417,81.81523120708167,7101.166186499214,6780.450480167453,388685.26666666666,198000,190685.26666666666
flat,0,baseline,17,19,12002,-1125.9645833333334,-0.1414294802130406,41.511971095070976,-1044.6011199869943,-1207.3280466796725,-63054.01666666667,39000,-102054.01666666666
flat,0,baseline,17,21,12003,-931.6145833333334,-0.11701768264296804,43.002429277562385,-847.329821949311,-1015.8993447173557,-52170.41666666667,46000,-98170.41666666667
flat,0,baseline,17,25,12004,-129.03958333333333,-0.016208326147979644,35.14498695038598,-60.15540891057681,-197.92375775608986,-7226.216666666666,42000,-49226.21666666667
flat,0,baseline,17,49,12006,6167.839583333333,0.7747262740057325,82.0159393733728,6328.590824505144,6007.088342161523,345399.01666666666,198000,147399.01666666666
flat,0,baseline,18,19,12001,-943.9645833333333,-0.1213428989432713,35.9180801270436,-873.5651462843279,-1014.3640203823387,-52862.01666666666,18000,-70862.01666666666
flat,0,baseline,18,22,12003,-844.0020833333333,-0.1084931164940356,40.37712208907424,-764.8629240387478,-923.1412426279188,-47264.11666666667,46000,-93264.11666666667
flat,0,baseline,18,26,12004,-98.60416666666667,-0.012675174092833265,32.63796827229795,-34.6337488529627,-162.57458448037065,-5521.833333333334,42000,-47521.833333333336
flat,0,baseline,18,50,12006,5826.160416666667,0.7489297873554092,82.91746317303138,5988.678644485808,5663.642188847525,326264.98333333334,198000,128264.98333333334
flat,0,baseline,19,23,12003,-519.8145833333333,-0.07604798340002097,35.097967390884605,-451.0225672471995,-588.6065994194671,-29109.616666666665,46000,-75109.61666666667
flat,0,baseline,19,27,12004,48.28333333333333,0.007063768985250694,29.614329413846946,106.32741898447335,-9.760752317806684,2703.866666666667,42000,-39296.13333333333
